"Designator","Mid X","Mid Y","Layer","Rotation"
"C15","63.5mm","-77.4mm","bottom","180.0"
"C16","71.8mm","-73.5mm","bottom","-90.0"
"C2","53.5mm","-86.6125mm","bottom","-90.0"
"R1","68.4mm","-64.2mm","bottom","0.0"
"R2","56.2mm","-86.6mm","bottom","90.0"
"C17","71.8mm","-78.8mm","bottom","90.0"
"C14","64.9mm","-71.1mm","bottom","-90.0"
