"Comment","Designator","Footprint","LCSC Part #"
"10uF","C1 C3","1206","C13585"
"22pF","C5 C9","1206","C5137630"
"LED","D3","1206",""
"LED","D4","1206","C434438"
"USB_OTG","J1","","C46392"
"Conn_02x20_Odd_Even","J2","","C124383"
"Conn_01x03_Male","J3 J4 J5 J6 J7 J8 J9 J10","","C5116482"
"2K","R3 R4","1206","C17944"
"AMS1117-3.3","U1","SOT-223-3","C173386"
"CH348Q","U2","","C2979161"
"8MHz","Y1","","C21263"
